candidate,task,rank,feature,importance,capacity_feature_importance_fraction
queue_shadow,delay,4,ccrth_dest_capacity_scenario_constrained_probability,0.60116839563026,0.06701060904532939
queue_shadow,delay,5,ccrth_dest_arrival_demand_120m_log1p,0.6010822007735439,0.06701060904532939
queue_shadow,delay,6,ccrth_origin_arrival_demand_120m_log1p,0.49355316487625667,0.06701060904532939
queue_shadow,delay,7,ccrth_dest_capacity_scenario_good_probability,0.39121572666707405,0.06701060904532939
queue_shadow,delay,8,ccrth_origin_capacity_scenario_marginal_probability,0.3024032985431999,0.06701060904532939
queue_shadow,delay,9,ccrth_dest_capacity_scenario_marginal_probability,0.2878272490979003,0.06701060904532939
queue_shadow,delay,10,ccrth_origin_recovery_minutes,0.25939781262149947,0.06701060904532939
queue_shadow,delay,11,ccrth_origin_capacity_scenario_good_probability,0.22743046254635477,0.06701060904532939
queue_shadow,delay,12,ccrth_dest_movement_demand_120m_log1p,0.13942664108744868,0.06701060904532939
queue_shadow,delay,13,ccrth_origin_movement_demand_120m_log1p,0.12095668503363576,0.06701060904532939
queue_shadow,delay,14,ccrth_origin_departure_demand_120m_log1p,0.079247683989833,0.06701060904532939
queue_shadow,delay,15,ccrth_origin_maximum_runway_length_kft,0.06789612360118953,0.06701060904532939
queue_shadow,delay,16,ccrth_dest_movement_demand_60m_log1p,0.06030491173494823,0.06701060904532939
queue_shadow,delay,17,ccrth_dest_metro_movement_demand_60m_log1p,0.047106244109222824,0.06701060904532939
queue_shadow,delay,18,ccrth_origin_weather_capacity_stress,0.04539772976482337,0.06701060904532939
queue_shadow,delay,19,ccrth_dest_expected_queue,0.04430233635693795,0.06701060904532939
queue_shadow,delay,20,ccrth_dest_runway_feasible_end_fraction,0.037190521409763054,0.06701060904532939
queue_shadow,delay,21,ccrth_dest_movement_demand_30m_log1p,0.029265886891055623,0.06701060904532939
queue_shadow,delay,22,ccrth_dest_arrival_demand_60m_log1p,0.025381006414408422,0.06701060904532939
queue_shadow,delay,23,ccrth_origin_expected_queue,0.02038622305113317,0.06701060904532939
queue_shadow,delay,24,ccrth_origin_max_parallel_runways,0.017974208045141347,0.06701060904532939
