airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
BWI,0.5326662327092982,2.3436621454653306e-06,capacity_gated_simplex,0.32199678726021846,6.3603469553918934e-06,90284,origin
CHS,0.5556349104592055,-3.237714102999334e-05,capacity_gated_simplex,0.32666996860543085,-1.4993246338912414e-06,24294,origin
CLE,0.5218235041351548,-3.34298915374287e-05,capacity_gated_simplex,0.3088590745103665,-6.35770646484346e-06,39356,origin
CLT,0.5774557736623338,-3.787748317563011e-05,capacity_gated_simplex,0.35393753690006574,-3.2531399689617047e-06,158932,origin
CMH,0.5138554416923683,-2.5775084546708626e-05,capacity_gated_simplex,0.30716565359824055,-6.5852445622627265e-06,43587,origin
COS,0.5489299280115443,-2.2118410405558286e-05,capacity_gated_simplex,0.33185769789137215,2.9003984978070996e-05,13037,origin
CVG,0.5427398258864411,-2.9273556624409558e-05,capacity_gated_simplex,0.32689135637076316,-1.82490902361776e-06,30824,origin
DAL,0.557681091427667,-4.116668045672789e-06,capacity_gated_simplex,0.3402502562948681,5.6814863249043945e-06,65842,origin
DAY,0.5529988185227832,-0.0001704681397248775,capacity_gated_simplex,0.32298089765689925,-5.94242124507538e-06,7562,origin
DCA,0.6588494105162841,-8.74386100756519e-05,capacity_gated_simplex,0.39415891486258087,-3.549238334121796e-06,127289,origin
DEN,0.5435955219262356,1.3385015210642948e-05,capacity_gated_simplex,0.34326337932381573,1.390841283155364e-05,243152,origin
DFW,0.6691303539273621,-1.1854381039011486e-05,capacity_gated_simplex,0.4093135067933838,7.176816817722198e-06,221410,origin
DSM,0.5429185953067471,-0.0001329045208767754,capacity_gated_simplex,0.31821205925734414,-1.8164207111592834e-05,13622,origin
DTW,0.5243853194020766,-2.418183300068044e-05,capacity_gated_simplex,0.3198618207312199,-2.662421960342165e-06,108498,origin
ELP,0.4753443150385269,-1.9003209288215306e-05,capacity_gated_simplex,0.2786163238723999,8.561531607553796e-06,16763,origin
EWR,0.6136203869838555,-1.1171460058467808e-05,capacity_gated_simplex,0.36961510058359026,1.3955086393679927e-06,113771,origin
FAT,0.47753726334897584,-4.236877385105364e-05,capacity_gated_simplex,0.2860097550434175,-5.986193213847191e-06,13175,origin
FLL,0.5539164066074036,-9.95796099678703e-06,capacity_gated_simplex,0.3402310194379665,3.763747214446944e-07,81633,origin
GEG,0.42713636668753663,-1.5045565437354913e-05,capacity_gated_simplex,0.2532188796730121,-4.3817739920903875e-06,17884,origin
GRR,0.543071372392648,-8.131047495429922e-05,capacity_gated_simplex,0.32801509861870326,-9.680577740811547e-06,16731,origin
GSO,0.5355039266695558,-0.00014604257099515294,capacity_gated_simplex,0.3049875595545996,-1.099972501628077e-05,10163,origin
GSP,0.5113134165293042,-5.472304795173244e-05,capacity_gated_simplex,0.2961372708400411,-2.1499391688606373e-06,13691,origin
HNL,0.4326513331393378,-3.8122226772019374e-06,capacity_gated_simplex,0.2478789919531792,-1.5267026426402097e-06,51232,origin
HOU,0.5190819113187752,-1.4081753840766709e-05,capacity_gated_simplex,0.3143237561116496,-5.775596934209926e-06,50539,origin
HPN,0.5823294670476752,-7.546836900662601e-05,capacity_gated_simplex,0.3446727035989647,-1.7703119972178882e-06,10381,origin
IAD,0.5098264275528063,-5.013042883816876e-05,capacity_gated_simplex,0.3101616750353125,-2.26291556871816e-05,54506,origin
IAH,0.5459179298407103,-3.628348122730607e-06,capacity_gated_simplex,0.33325201763458917,-1.2027111148116276e-06,107923,origin
ICT,0.5838780257474335,-0.0002935167173270248,capacity_gated_simplex,0.34767642748732086,-2.2207439437538223e-05,10780,origin
IND,0.5072474833924296,-1.8051065439395053e-05,capacity_gated_simplex,0.30036164033716767,-3.3256096619305175e-06,45448,origin
JAX,0.5206557584474352,1.3730623799390607e-05,capacity_gated_simplex,0.3057634627204661,4.9016424762959865e-06,27657,origin
JFK,0.5857890541145143,-6.831691314990174e-06,capacity_gated_simplex,0.35683862046742826,1.682754832699196e-06,100462,origin
KOA,0.40632044971463344,-1.2931491154444252e-05,capacity_gated_simplex,0.22321391742783084,-2.4081487260685375e-06,15585,origin
LAS,0.5079707288284921,-4.361323793444782e-06,capacity_gated_simplex,0.3110735150564311,4.1819835489009805e-07,173080,origin
LAX,0.468896569827865,-5.1161954391365505e-06,capacity_gated_simplex,0.27992390928650807,-5.476435457896223e-07,178888,origin
LGA,0.6305865263887185,-3.142827556046335e-05,capacity_gated_simplex,0.38226620163362374,-3.837358349967346e-06,129295,origin
LGB,0.39819326765806673,1.1088421077665167e-05,capacity_gated_simplex,0.22907927831254202,2.861769348466714e-06,16513,origin
LIH,0.4274699744680155,-2.6116587597380114e-05,capacity_gated_simplex,0.23973412931941715,8.344367430662691e-06,15466,origin
LIT,0.5609624358837053,-3.788224710521426e-05,capacity_gated_simplex,0.33490342852373883,1.1736694117192581e-05,12520,origin
MAF,0.5046546263971514,-8.943624819190976e-05,capacity_gated_simplex,0.2941445260286117,3.3893646722571447e-07,9750,origin
MCI,0.5244043017063514,-4.654215194022093e-06,capacity_gated_simplex,0.3153977200204346,1.7723113809875457e-06,47217,origin
MCO,0.5395496983121714,-7.740748597773184e-06,capacity_gated_simplex,0.33290094626748745,-1.7367123522626926e-07,150588,origin
MDW,0.5230341090432292,-3.0129223698605045e-05,capacity_gated_simplex,0.3199697808385557,-1.1747892644742297e-05,71497,origin
MEM,0.5272981564990331,-2.1587068052220104e-05,capacity_gated_simplex,0.31306218306321976,-8.07739026692511e-06,23500,origin
MIA,0.5856107135254843,-1.2787636707756178e-05,capacity_gated_simplex,0.36596627027593304,-4.244728490254701e-06,104569,origin
MKE,0.5271911222344546,-3.851525438081094e-05,capacity_gated_simplex,0.31483795274160087,-4.413207167486277e-07,27310,origin
MSN,0.5330907452677012,-0.00012460793516388957,capacity_gated_simplex,0.3165861647015302,-3.197237180097012e-05,12612,origin
MSP,0.5013779271784109,-6.518167606217595e-06,capacity_gated_simplex,0.30649465574037466,4.7757266424808265e-06,91402,origin
MSY,0.5488999711959055,-4.28857507484004e-06,capacity_gated_simplex,0.32808439457666544,-7.280624412242531e-07,50424,origin
MYR,0.5581132940481282,-3.348729043117782e-05,capacity_gated_simplex,0.3268447933312372,-9.249561945090523e-06,12929,origin
OAK,0.44295154968791356,1.0373625910775619e-05,capacity_gated_simplex,0.2638955043101035,1.134586527723469e-05,33273,origin
OGG,0.4292657346432641,-5.645277498356194e-06,capacity_gated_simplex,0.2423461324424665,6.05627186539559e-07,24858,origin
OKC,0.5271265458966571,-1.0671181920440809e-05,capacity_gated_simplex,0.31577132581299266,4.973506674499362e-06,23776,origin
OMA,0.495607991023247,-2.2441870558942423e-05,capacity_gated_simplex,0.2930955300353341,-8.000600213053932e-06,23836,origin
ONT,0.4569307862215434,-1.5408473073019735e-06,capacity_gated_simplex,0.2682854510416392,9.182250193973118e-06,25833,origin
ORD,0.5818478279476472,-3.373434990205926e-05,capacity_gated_simplex,0.3590339083401694,-7.345680501646967e-06,257943,origin
ORF,0.5609977928766394,-7.549008686980052e-05,capacity_gated_simplex,0.3313077980580534,-8.188660503893885e-06,19573,origin
PBI,0.5711748133902415,-3.178772508183325e-05,capacity_gated_simplex,0.34977751983021393,-1.0409292080293397e-05,28349,origin
PDX,0.47630334084618364,-2.1208472475497953e-05,capacity_gated_simplex,0.2843214568963821,-1.1874446016413298e-05,58871,origin
PHL,0.6067409606597814,-2.1695859407255824e-05,capacity_gated_simplex,0.37217995337305193,-2.329692290581331e-06,92497,origin
PHX,0.5019197641939869,-2.591655102412993e-06,capacity_gated_simplex,0.30603752715220917,1.257659877573758e-06,175652,origin
PIT,0.494051968872804,2.3135792528994337e-06,capacity_gated_simplex,0.2914731590062477,1.6697590680680996e-06,41531,origin
PNS,0.5485390945048321,-2.422929076872915e-05,capacity_gated_simplex,0.31618846320768307,3.315947347648507e-06,13723,origin
PSP,0.48111800666590837,1.9471519407343596e-05,capacity_gated_simplex,0.2913933896895104,1.3064069139534507e-05,14520,origin
PVD,0.5452594005710636,-0.0001147243183993174,capacity_gated_simplex,0.3249505120902088,9.64496774835677e-07,15164,origin
PWM,0.5525592975237784,-7.848275145927452e-05,capacity_gated_simplex,0.3277293037884414,-2.2200776945147105e-05,10630,origin
RDU,0.5264937540390747,3.437324361033056e-06,capacity_gated_simplex,0.31298037236414467,-4.535650032222449e-07,54711,origin
RIC,0.5520203155423667,-5.896684747497272e-05,capacity_gated_simplex,0.3292950360524932,3.2214149855436247e-06,17525,origin
RNO,0.48629799585425404,3.975864912580951e-05,capacity_gated_simplex,0.28583085229826793,1.689452463704555e-05,20662,origin
ROC,0.5641972561401867,-2.6253565427847292e-05,capacity_gated_simplex,0.3386066495426631,7.1665726367187155e-06,9914,origin
RSW,0.5157950735650713,-1.9541489011620783e-05,capacity_gated_simplex,0.3096407377512203,3.771870554336587e-06,33899,origin
SAN,0.536844741721002,-4.017961915181445e-06,capacity_gated_simplex,0.3264655222470137,-4.2833162600119934e-07,92521,origin
SAT,0.47687613343218,1.0812974059914993e-05,capacity_gated_simplex,0.2802817011080826,6.6176497471315265e-06,41253,origin
