month,n,method,joint_log_loss,joint_log_loss_delta_vs_flare24,multiclass_brier,multiclass_brier_delta_vs_flare24
4,490292,task_factorized_capacity_gated_q4,0.48991454931427336,-0.00043366646938797215,0.2979169292164188,-3.3842552139673465e-05
4,490292,cancel_normalized_capacity__delay_flare24,0.48999735889383367,-0.0003508568898276665,0.2978990403127598,-5.1731455798675885e-05
5,506343,flare24,0.5419003591157375,0.0,0.3359771678687511,0.0
5,506343,capacity_gated_simplex,0.5418885412605375,-1.1817855199991456e-05,0.3359778917685428,7.23899791721383e-07
5,506343,task_factorized_global_q4,0.5413069739585386,-0.0005933851571989779,0.3359389281081181,-3.82397606329965e-05
5,506343,task_factorized_capacity_gated_q4,0.5412851555441702,-0.0006152035715673021,0.33593698290699,-4.018496176111386e-05
5,506343,cancel_normalized_capacity__delay_flare24,0.5399877466724983,-0.0019126124432392588,0.33580932486522563,-0.00016784300352545856
6,503142,flare24,0.5913118754790496,0.0,0.36942144439448954,0.0
6,503142,capacity_gated_simplex,0.5913020849546115,-9.79052443816908e-06,0.36942092511774244,-5.192767471018378e-07
6,503142,task_factorized_global_q4,0.5911566840722489,-0.0001551914068007587,0.3693685489049162,-5.289548957332357e-05
6,503142,task_factorized_capacity_gated_q4,0.5911494384647182,-0.0001624370143313847,0.3693695949336439,-5.1849460845632134e-05
6,503142,cancel_normalized_capacity__delay_flare24,0.5920333023837877,0.0007214269047380872,0.3694913259584567,6.988156396714462e-05
7,516990,flare24,0.6252127529052512,0.0,0.38358029211645744,0.0
7,516990,capacity_gated_simplex,0.6252006628154428,-1.2090089808403093e-05,0.3835795843491107,-7.077673467303924e-07
7,516990,task_factorized_global_q4,0.6244530975333198,-0.0007596553719314558,0.3835197735810254,-6.051853543204144e-05
7,516990,task_factorized_capacity_gated_q4,0.6244803010519694,-0.0007324518532818569,0.38352246715187516,-5.782496458228703e-05
7,516990,cancel_normalized_capacity__delay_flare24,0.6229978766084847,-0.0022148762967665325,0.38310321919538687,-0.00047707292107057597
8,493937,flare24,0.5332091858133515,0.0,0.32615767469242,0.0
8,493937,capacity_gated_simplex,0.5331960425097686,-1.314330358292981e-05,0.3261589150566582,1.2403642382086133e-06
8,493937,task_factorized_global_q4,0.5327848855431987,-0.0004243002701528331,0.3261399547846634,-1.7719907756619246e-05
8,493937,task_factorized_capacity_gated_q4,0.5327744745628735,-0.00043471125047800374,0.32613883751568223,-1.8837176737784844e-05
8,493937,cancel_normalized_capacity__delay_flare24,0.532319779636817,-0.0008894061765345462,0.3261020630277688,-5.5611664651233905e-05
9,465892,flare24,0.4463131984598081,0.0,0.26645856368191145,0.0
9,465892,capacity_gated_simplex,0.446311217021552,-1.981438256082324e-06,0.26645694486716154,-1.6188147499152095e-06
9,465892,task_factorized_global_q4,0.4465542630665297,0.00024106460672157493,0.2664634798259647,4.916144053235261e-06
9,465892,task_factorized_capacity_gated_q4,0.4465374172219231,0.00022421876211498049,0.2664631316837594,4.5680018479488105e-06
9,465892,cancel_normalized_capacity__delay_flare24,0.4460818016282273,-0.00023139683158079905,0.2664294174208599,-2.914626105154916e-05
10,504945,flare24,0.49291131852953163,0.0,0.3056197049429562,0.0
10,504945,capacity_gated_simplex,0.4928983771876434,-1.2941341888228486e-05,0.3056143378250159,-5.367117940302535e-06
10,504945,task_factorized_global_q4,0.49247348845045297,-0.00043783007907866045,0.305570098758556,-4.960618440019715e-05
10,504945,task_factorized_capacity_gated_q4,0.4924855893929982,-0.000425729136533437,0.3055719289709317,-4.777597202448858e-05
10,504945,cancel_normalized_capacity__delay_flare24,0.4926653022299207,-0.0002460162996109072,0.3055845411718485,-3.516377110768243e-05
11,477509,flare24,0.5710495771338763,0.0,0.33300162818312207,0.0
11,477509,capacity_gated_simplex,0.5710144238867348,-3.515324714142842e-05,0.3330003924203679,-1.2357627541814686e-06
11,477509,task_factorized_global_q4,0.5696480241071645,-0.0014015530267117438,0.33298421241097226,-1.741577214980916e-05
11,477509,task_factorized_capacity_gated_q4,0.5696537569106898,-0.0013958202231865169,0.3329844026078986,-1.7225575223489553e-05
11,477509,cancel_normalized_capacity__delay_flare24,0.5665541016913855,-0.004495475442490737,0.3328416604171441,-0.00015996776597798634
12,454442,flare24,0.6069100594960594,0.0,0.37965522093019716,0.0
12,454442,capacity_gated_simplex,0.6068942290970797,-1.5830398979677085e-05,0.3796583786727505,3.1577425533280135e-06
12,454442,task_factorized_global_q4,0.6062240426034342,-0.000686016892625152,0.379587948773166,-6.727215703117295e-05
12,454442,task_factorized_capacity_gated_q4,0.6062235836388696,-0.0006864758571897278,0.3795891640233879,-6.605690680927534e-05
12,454442,cancel_normalized_capacity__delay_flare24,0.6062556071080332,-0.0006544523880261943,0.37954220284173085,-0.00011301808846631012
