airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
SAN,0.5359443074942953,-0.000904452195208405,tf_ccrth_cancellation_logit_stack,0.3264225299847656,-4.342058961276374e-05,92521,origin
SAT,0.4755628298140042,-0.0013024906365144973,tf_ccrth_cancellation_logit_stack,0.28014575129921776,-0.0001293321529980962,41253,origin
SAV,0.550675589728134,-0.0033037663423293173,tf_ccrth_cancellation_logit_stack,0.32422461281895393,-0.00044491857308304184,18659,origin
SDF,0.519947501463011,-0.003994706602866049,tf_ccrth_cancellation_logit_stack,0.30393116920691415,-0.0006552540976523247,22203,origin
SEA,0.5342380856509763,-0.00033904195713585494,tf_ccrth_cancellation_logit_stack,0.3308755938014425,-1.2929423799212802e-05,145024,origin
SFO,0.4969151562422403,-0.0006274724778726481,tf_ccrth_cancellation_logit_stack,0.3029226813691923,-3.080238479286068e-05,130201,origin
SJC,0.4332634872046623,-0.00020194040510518318,tf_ccrth_cancellation_logit_stack,0.25509581233286027,1.2246769127144397e-06,45114,origin
SJU,0.5294249585092201,-0.0001686550690043198,tf_ccrth_cancellation_logit_stack,0.32539989058572827,-7.719234024983201e-06,34352,origin
SLC,0.4565250481268947,-0.0005591996157167656,tf_ccrth_cancellation_logit_stack,0.2737736831708182,-1.776703705747007e-05,95416,origin
SMF,0.4513652468803299,-0.00041487395896389057,tf_ccrth_cancellation_logit_stack,0.26926278855288155,-1.0414237863687337e-05,56514,origin
SNA,0.4890200292694697,-0.00112247189807696,tf_ccrth_cancellation_logit_stack,0.28999401492673177,-7.31710264049723e-05,42958,origin
STL,0.5168121369554117,-0.0027339655300243626,tf_ccrth_cancellation_logit_stack,0.3136986818968403,-0.00041389124365309726,62551,origin
SYR,0.5810344635084229,-0.005300217206050339,tf_ccrth_cancellation_logit_stack,0.34963263325062266,-0.0007124622457932994,9782,origin
TPA,0.5251129118462557,-0.001609077945012971,tf_ccrth_cancellation_logit_stack,0.3204697770144481,-0.0001216756687441034,77003,origin
TUL,0.5216940883947233,-0.0039685475979409635,tf_ccrth_cancellation_logit_stack,0.3074967473582178,-0.0004855952346851655,18006,origin
TUS,0.44153825348719306,-0.0012332416959695003,tf_ccrth_cancellation_logit_stack,0.25560151694026845,-8.202231206544397e-05,19884,origin
TYS,0.5820015508726716,-0.004175477783551318,tf_ccrth_cancellation_logit_stack,0.3520125571622154,-0.0007625393870733799,11396,origin
XNA,0.5625125179154595,-0.0041708379235121384,tf_ccrth_cancellation_logit_stack,0.33665379328238726,-0.00040092711516509505,12083,origin
ABQ,0.5050100196628983,0.0,flare24,0.30757508327278826,0.0,24916,destination
