month,method,n,joint_log_loss,multiclass_brier,argmax_accuracy
8,boundary_only,493937,0.5336303860606006,0.32622744772816836,0.7717887098962013
8,counterfactual_residual,493937,0.5325130223191492,0.3263719552683897,0.77179478354527
8,boundary_ensemble,493937,0.5329089556579223,0.32599958799403045,0.7718474218371979
8,boundary_gated_ensemble,493937,0.5329332569584372,0.326019155618959,0.77188183918192
9,schedule_baseline,465892,0.45268896325121727,0.2699280362129955,0.8265005623620925
9,flare24,465892,0.4463131984598081,0.26645856368191145,0.8271788311454157
9,capacity_gated_simplex,465892,0.446311217021552,0.26645694486716154,0.8271766847252153
9,meta_current,465892,0.44616340796415094,0.2664539027304055,0.8271659526242133
9,boundary_only,465892,0.44606928342621255,0.2660925137387623,0.8274192302078593
9,counterfactual_residual,465892,0.4460663011301233,0.2660484236672984,0.8273677161230499
9,boundary_ensemble,465892,0.44587393058649366,0.26615284969600095,0.827329080559443
9,boundary_gated_ensemble,465892,0.4458995594029567,0.2661739763081608,0.8273162020382406
10,schedule_baseline,504945,0.5027248272109252,0.3112622863540872,0.7873293130935052
10,flare24,504945,0.49291131852953163,0.3056197049429562,0.7907593896364951
10,capacity_gated_simplex,504945,0.4928983771876434,0.3056143378250159,0.7907554288090782
10,meta_current,504945,0.49193897472185744,0.30548024596363427,0.7907574092227866
10,boundary_only,504945,0.4905692599439687,0.30402142427925,0.7917020665617047
10,counterfactual_residual,504945,0.489582745381804,0.3035042290482651,0.7918684213132123
10,boundary_ensemble,504945,0.49133272334730266,0.30463555063669606,0.7912881600966442
10,boundary_gated_ensemble,504945,0.4913015463344637,0.3046309148348165,0.7912584538910178
11,schedule_baseline,477509,0.5814454915365243,0.34140657910004646,0.7724985288235405
11,flare24,477509,0.5710495771338763,0.33300162818312207,0.7747539836945482
11,capacity_gated_simplex,477509,0.5710144238867348,0.3330003924203679,0.7747539836945482
11,meta_current,477509,0.5658522794016071,0.3324738974771649,0.774768643104109
11,boundary_only,477509,0.5680746736466324,0.33061326172970334,0.7757989901761014
11,counterfactual_residual,477509,0.5626294196503021,0.32965821994154476,0.7758639104184424
11,boundary_ensemble,477509,0.5684152337799662,0.3315459058018053,0.7751812007731791
11,boundary_gated_ensemble,477509,0.5684134417525301,0.33156440412554583,0.775130939940399
12,schedule_baseline,484585,0.6158651924902996,0.38700044269265776,0.7237718872849964
12,flare24,484585,0.6050641069730924,0.3790967139730272,0.728910304693707
12,capacity_gated_simplex,484585,0.6050484469175982,0.3790996194912418,0.7289061774508084
12,meta_current,484585,0.6037371851483311,0.3787859192220629,0.7288215689713878
12,boundary_only,484585,0.604415865189787,0.3780476113781577,0.7297625803522602
12,counterfactual_residual,484585,0.6049603377456513,0.37893171690164634,0.7292177842896499
12,boundary_ensemble,484585,0.6039481822029881,0.3783337413011394,0.729320965362114
12,boundary_gated_ensemble,484585,0.6040171650488798,0.3783604575747178,0.7292693748258819
