year,month,method,rows,joint_log_loss,multiclass_brier,joint_log_loss_minus_baseline,multiclass_brier_minus_baseline
2025,7,rotation_structural,516990,0.6252127529052512,0.38358029211645744,-0.01386463771707891,-0.009446652716952886
2025,7,rotation_risk,516990,0.6267461837652022,0.38491911698905157,-0.012331206857127963,-0.008107827844358761
2025,7,ensemble,516990,0.6252127529052512,0.38358029211645744,-0.01386463771707891,-0.009446652716952886
2025,7,reconciled,516990,0.6252127529052512,0.38358029211645744,-0.01386463771707891,-0.009446652716952886
2025,8,baseline,493937,0.5424890530956208,0.3328813774991994,0.0,0.0
2025,8,weather,493937,0.5338015196009714,0.32682793228437834,-0.008687533494649347,-0.0060534452148210405
2025,8,rotation_structural,493937,0.5332091858133515,0.32615767469242,-0.00927986728226926,-0.006723702806779364
2025,8,rotation_risk,493937,0.5335114114118786,0.3267418034858222,-0.008977641683742155,-0.006139574013377169
2025,8,ensemble,493937,0.5332091858133515,0.32615767469242,-0.00927986728226926,-0.006723702806779364
2025,8,reconciled,493937,0.5332091858133515,0.32615767469242,-0.00927986728226926,-0.006723702806779364
2025,9,baseline,465892,0.45268896325121727,0.2699280362129955,0.0,0.0
2025,9,weather,465892,0.44698109174267275,0.26662194437266395,-0.005707871508544515,-0.0033060918403315376
2025,9,rotation_structural,465892,0.4463131984598081,0.26645856368191145,-0.006375764791409166,-0.003469472531084039
2025,9,rotation_risk,465892,0.4467878586158053,0.26655937417333714,-0.005901104635411991,-0.0033686620396583544
2025,9,ensemble,465892,0.4463131984598081,0.26645856368191145,-0.006375764791409166,-0.003469472531084039
2025,9,reconciled,465892,0.4463131984598081,0.26645856368191145,-0.006375764791409166,-0.003469472531084039
2025,10,baseline,504945,0.5027248272109252,0.3112622863540872,0.0,0.0
2025,10,weather,504945,0.49379226903405105,0.3062894035400474,-0.008932558176874106,-0.004972882814039792
2025,10,rotation_structural,504945,0.49291131852953163,0.3056197049429562,-0.009813508681393524,-0.005642581411130998
2025,10,rotation_risk,504945,0.4935699410222632,0.30622177729230715,-0.009154886188661948,-0.005040509061780052
2025,10,ensemble,504945,0.49291131852953163,0.3056197049429562,-0.009813508681393524,-0.005642581411130998
2025,10,reconciled,504945,0.49291131852953163,0.3056197049429562,-0.009813508681393524,-0.005642581411130998
2025,11,baseline,477509,0.5814454915365243,0.34140657910004646,0.0,0.0
2025,11,weather,477509,0.5688580622798097,0.3334791110172842,-0.012587429256714522,-0.007927468082762235
2025,11,rotation_structural,477509,0.5710495771338763,0.33300162818312207,-0.010395914402647977,-0.008404950916924392
2025,11,rotation_risk,477509,0.56980494925854,0.33298723076292525,-0.011640542277984278,-0.008419348337121213
