joint_log_loss,multiclass_brier,weight_baseline,weight_rotation_risk,weight_rotation_structural,weight_weather
0.44316584822525024,0.2657252246087409,0.0,0.65,0.05,0.3
0.4430791954072121,0.26567453970800153,0.0,0.6,0.1,0.3
0.44299655635458984,0.26562532666560573,0.0,0.55,0.15,0.3
0.4429178700539285,0.26557758548155364,0.0,0.5,0.2,0.3
0.44284309479345346,0.26553131615584513,0.0,0.45,0.25,0.3
0.44277220524165073,0.26548651868848017,0.0,0.4,0.3,0.3
0.4427051905906439,0.26544319307945885,0.0,0.35,0.35,0.3
0.442642053475889,0.2654013393287811,0.0,0.3,0.4,0.3
0.44258280951710416,0.26536095743644705,0.0,0.25,0.45,0.3
0.44252748741334663,0.2653220474024565,0.0,0.2,0.5,0.3
0.44247612959506816,0.26528460922680963,0.0,0.15,0.55,0.3
0.44242879350657355,0.26524864290950634,0.0,0.1,0.6,0.3
0.4423855536830264,0.2652141484505467,0.0,0.05,0.65,0.3
0.4423465049270125,0.26518112584993064,0.0,0.0,0.7,0.3
0.44327888804511856,0.2657890951641881,0.0,0.65,0.0,0.35
0.4431896602676806,0.2657374166067564,0.0,0.6,0.05,0.35
0.4431045133927278,0.26568720990766836,0.0,0.55,0.1,0.35
0.4430233708254788,0.2656384750669239,0.0,0.5,0.15,0.35
0.44294617867416924,0.2655912120845231,0.0,0.45,0.2,0.35
0.44287290172526883,0.2655454209604658,0.0,0.4,0.25,0.35
0.44280352086914854,0.26550110169475216,0.0,0.35,0.3,0.35
0.4427380315263867,0.2654582542873822,0.0,0.3,0.35,0.35
0.4426764428294227,0.26541687873835573,0.0,0.25,0.4,0.35
0.44261877743813993,0.26537697504767294,0.0,0.2,0.45,0.35
0.4425650719563566,0.2653385432153337,0.0,0.15,0.5,0.35
0.44251537799566615,0.26530158324133807,0.0,0.1,0.55,0.35
0.4424697640262318,0.26526609512568605,0.0,0.05,0.6,0.35
0.4424283182914827,0.26523207886837774,0.0,0.0,0.65,0.35
0.4433045455723818,0.2658017293337258,0.0,0.6,0.0,0.4
0.4432168236851901,0.26575052897794543,0.0,0.55,0.05,0.4
0.4431331730720682,0.26570080048050865,0.0,0.5,0.1,0.4
0.4430535246274956,0.26565254384141546,0.0,0.45,0.15,0.4
0.44297783119631806,0.26560575906066586,0.0,0.4,0.2,0.4
0.4429060639494438,0.26556044613825996,0.0,0.35,0.25,0.4
0.4428382101221651,0.2655166050741976,0.0,0.3,0.3,0.4
0.44277427171976774,0.26547423586847885,0.0,0.25,0.35,0.4
0.4427142649842333,0.2654333385211037,0.0,0.2,0.4,0.4
0.44265822053742676,0.26539391303207216,0.0,0.15,0.45,0.4
0.44260618421279196,0.2653559594013843,0.0,0.1,0.5,0.4
0.44255821868893425,0.26531947762904,0.0,0.05,0.55,0.4
0.44251440617806787,0.2652844677150393,0.0,0.0,0.6,0.4
0.4433335211044952,0.26581528387643694,0.0,0.55,0.0,0.45
0.4432472947004431,0.2657645617223078,0.0,0.5,0.05,0.45
0.4431651376816456,0.2657153114265223,0.0,0.45,0.1,0.45
0.4430869879208466,0.2656675329890804,0.0,0.4,0.15,0.45
0.44301280481210575,0.26562122640998215,0.0,0.35,0.2,0.45
0.44294256599160414,0.2655763916892275,0.0,0.3,0.25,0.45
0.44287626537429203,0.2655330288268164,0.0,0.25,0.3,0.45
0.4428139121565342,0.26549113782274897,0.0,0.2,0.35,0.45
0.442755530618708,0.26545071867702513,0.0,0.15,0.4,0.45
0.44270116069026993,0.2654117713896449,0.0,0.1,0.45,0.45
0.4426508593580747,0.26537429596060824,0.0,0.05,0.5,0.45
0.44260470314743205,0.26533829238991524,0.0,0.0,0.55,0.45
0.4433657849556405,0.2658297587923214,0.0,0.5,0.0,0.5
0.4432810505526291,0.2657795148398436,0.0,0.45,0.05,0.5
0.4432003913326584,0.26573074274570935,0.0,0.4,0.1,0.5
0.44312375184280106,0.26568344250991877,0.0,0.35,0.15,0.5
0.4430510980410253,0.26563761413247183,0.0,0.3,0.2,0.5
0.4429824143291829,0.26559325761336844,0.0,0.25,0.25,0.5
0.4429177018966612,0.2655503729526087,0.0,0.2,0.3,0.5
0.44285697806730373,0.2655089601501925,0.0,0.15,0.35,0.5
0.4428002765326244,0.2654690192061199,0.0,0.1,0.4,0.5
0.4427476485051044,0.26543055012039096,0.0,0.05,0.45,0.5
0.4426991649931581,0.2653935528930057,0.0,0.0,0.5,0.5
0.4434013270498628,0.26584515408137926,0.0,0.45,0.0,0.55
0.44331808799989586,0.2657953883305528,0.0,0.4,0.05,0.55
0.44323893782475127,0.2657470944380699,0.0,0.35,0.1,0.55
0.4431638276503657,0.26570027240393057,0.0,0.3,0.15,0.55
0.44309273024091017,0.2656549222281349,0.0,0.25,0.2,0.55
0.4430256373354902,0.2656110439106828,0.0,0.2,0.25,0.55
0.44296255833887804,0.26556863745157433,0.0,0.15,0.3,0.55
0.4429035201068653,0.26552770285080946,0.0,0.1,0.35,0.55
0.44284856778247456,0.2654882401083882,0.0,0.05,0.4,0.55
0.4427977668437913,0.26545024922431054,0.0,0.0,0.45,0.55
0.4434401561842661,0.26586146974361063,0.0,0.4,0.0,0.6
0.44335842288776595,0.2658121821944354,0.0,0.35,0.05,0.6
0.44328080054499475,0.26576436650360374,0.0,0.3,0.1,0.6
0.44320724699750813,0.26571802267111577,0.0,0.25,0.15,0.6
0.44313774233983466,0.26567315069697134,0.0,0.2,0.2,0.6
0.44307228658398434,0.26562975058117055,0.0,0.15,0.25,0.6
0.4430108987874998,0.2655878223237133,0.0,0.1,0.3,0.6
0.442953617455796,0.26554736592459977,0.0,0.05,0.35,0.6
0.4429005023079619,0.2655083813838298,0.0,0.0,0.4,0.6
0.4434823002474394,0.26587870577901535,0.0,0.35,0.0,0.65
0.44340209070317405,0.26582989643149135,0.0,0.3,0.05,0.65
0.4433260234160541,0.26578255894231106,0.0,0.25,0.1,0.65
0.44325406336676315,0.2657366933114743,0.0,0.2,0.15,0.65
0.4431861988857772,0.26569229953898116,0.0,0.15,0.2,0.65
0.4431224397220593,0.2656493776248317,0.0,0.1,0.25,0.65
0.4430628167906054,0.2656079275690258,0.0,0.05,0.3,0.65
0.4430073835420938,0.26556794937156347,0.0,0.0,0.35,0.65
0.4435278074116221,0.26589686218759345,0.0,0.3,0.0,0.7
0.4434491481785219,0.2658485310417208,0.0,0.25,0.05,0.7
0.4433746730187294,0.2658016717541918,0.0,0.2,0.1,0.7
0.44330435486621367,0.26575628432500636,0.0,0.15,0.15,0.7
0.4432381917540671,0.26571236875416454,0.0,0.1,0.2,0.7
0.4431762054621544,0.2656699250416663,0.0,0.05,0.25,0.7
0.4431184422589237,0.2656289531875117,0.0,0.0,0.3,0.7
0.4435767484570678,0.265915938969345,0.0,0.25,0.0,0.75
0.4434996761713675,0.2658680860251237,0.0,0.2,0.05,0.75
0.44342684221254464,0.2658217049392459,0.0,0.15,0.1,0.75
0.4433582288657884,0.26577679571171176,0.0,0.1,0.15,0.75
0.44329384623147955,0.2657333583425212,0.0,0.05,0.2,0.75
0.4432337318410053,0.2656913928316743,0.0,0.0,0.25,0.75
0.44362922057226734,0.2659359361242699,0.0,0.2,0.0,0.8
