accuracy,accuracy_delta_vs_meta,airport,joint_log_loss,joint_log_loss_delta_vs_meta,multiclass_brier,multiclass_brier_delta_vs_meta,n,role,selected_method
0.8384630858982096,0.000352041842687556,TUS,0.44162645300927805,8.819952208499737e-05,0.2552684905024055,-0.00033302643786292663,19884,origin,boundary_gated_ensemble
0.7541242541242541,0.0007020007020006602,TYS,0.5835255359691942,0.0015239850965225177,0.3511508359806627,-0.0008617211815526993,11396,origin,boundary_gated_ensemble
0.7715799056525697,0.00033104361499625146,XNA,0.5636223514817686,0.0011098335663091152,0.3364791510417068,-0.00017464224068047818,12083,origin,boundary_gated_ensemble
0.7894525606036282,0.00024080911863866294,ABQ,0.5048778724992505,0.000890899823708935,0.307613539597868,8.261891731137228e-05,24916,destination,boundary_gated_ensemble
0.7458392573387974,0.0,ALB,0.5801223268335897,0.0031915013549725924,0.35783563261015516,0.0002942412029014463,11957,destination,boundary_gated_ensemble
0.7401443642420877,0.00015864202427229301,ANC,0.5758041746600076,0.0006509288078155873,0.36641240604110203,0.0005327436113791162,12607,destination,boundary_gated_ensemble
0.8023061591414963,0.00016890814024639322,ATL,0.5069500553041275,0.001667616730168242,0.29612508801535203,-0.00012513938519304046,266417,destination,boundary_gated_ensemble
0.7715107948612089,8.499890715685243e-05,AUS,0.5266440608754923,0.00021278257972834336,0.3262283280640829,-0.0001504768275013002,82354,destination,boundary_gated_ensemble
0.7614851832368928,-8.767315448010571e-05,BDL,0.5505927546374643,0.001418657996159145,0.3393185247675994,-2.7165503532655677e-05,22812,destination,boundary_gated_ensemble
0.7609556969624205,-6.003121623243679e-05,BHM,0.5677158560759688,0.00294760763391122,0.3423328530438149,0.0004165699204043416,16658,destination,boundary_gated_ensemble
0.7722580580439995,7.022260565991978e-05,BNA,0.5280269079243787,0.0001574413678843145,0.32330055293438653,-0.0007362881720905934,99683,destination,boundary_gated_ensemble
0.8100877382547435,-0.0001296624454337758,BOI,0.469562342572406,-0.00011961181381087149,0.28748948108568145,-2.5213083711617124e-05,23137,destination,boundary_gated_ensemble
0.7421574638439067,-0.00010819778555193338,BOS,0.579379366500561,0.0013596007602941773,0.35838071616314343,-0.00030670349144146236,138635,destination,boundary_gated_ensemble
0.7345106696100073,0.0008339465293107917,BUF,0.5950901662144845,0.0035703299037238567,0.36789637600793695,0.0005919647398580641,20385,destination,boundary_gated_ensemble
0.7940670824203607,0.00016854879487615548,BUR,0.5144837909864118,0.0007687430819751651,0.30773332516609414,-0.00011359425555990121,29665,destination,boundary_gated_ensemble
0.796202335320054,4.4313473511525814e-05,BWI,0.5012599327349798,0.001105983221023843,0.2966097148560853,-0.00027337152249456986,90266,destination,boundary_gated_ensemble
0.7523750771128933,-0.0004523956405511065,CHS,0.5882424952342181,0.004073710229430816,0.3535050273818943,0.0004231908145732599,24315,destination,boundary_gated_ensemble
0.7655630477056342,0.000555597646286321,CLE,0.554405046664548,0.0013789410727600426,0.33604590900500464,1.6429298265174808e-05,39597,destination,boundary_gated_ensemble
0.7977737831858407,-6.913716814160864e-05,CLT,0.5161445494393726,0.0004753741086038765,0.30365244968581473,-0.0005103416819329243,159104,destination,boundary_gated_ensemble
0.7625148986889154,0.00043550013752635675,CMH,0.5518175850985924,0.00109187481325701,0.33887469429652384,-0.00016318593369946122,43628,destination,boundary_gated_ensemble
0.7451897278650824,-0.0009965504024530558,COS,0.5757583784294484,0.001163300131453826,0.3558483301147014,-0.00013360260358441511,13045,destination,boundary_gated_ensemble
